team,player,pos,gp,gs,min,pts,or,dr,reb,ast,stl,blk,to,pf,ast/to
NY,OG Anunoby,F,53,53,33.2,16.6,1.4,3.9,5.2,2.2,1.7,0.7,1.9,2.5,1.1
NY,Mikal Bridges,G,67,67,33.6,15.0,1.0,3.1,4.1,3.9,1.4,0.8,1.0,2.0,3.8
NY,Miles McBride,G,35,14,28.0,12.9,0.6,2.0,2.6,2.8,0.9,0.2,0.8,1.8,3.5
NY,Josh Hart,G,54,40,30.0,11.8,1.5,6.1,7.6,5.1,1.1,0.3,2.0,2.5,2.6
NY,Landry Shamet,G,42,10,22.8,10.0,0.4,1.4,1.8,1.5,0.5,0.2,0.6,1.6,2.6
NY,Jordan Clarkson,G,57,1,17.8,8.9,0.8,0.9,1.7,1.3,0.4,0.1,1.0,1.8,1.3
NY,Mitchell Robinson,C,48,14,19.3,5.2,4.3,4.3,8.6,1.0,0.8,1.1,0.6,2.2,1.5
NY,Tyler Kolek,G,55,1,12.0,4.4,0.3,1.4,1.7,2.8,0.3,0.1,1.0,1.1,2.9
NY,Mohamed Diawara,F,56,6,8.4,3.5,0.2,1.1,1.3,0.6,0.3,0.1,0.4,0.8,1.5
NY,Ariel Hukporti,C,47,4,8.9,1.9,1.0,1.9,2.8,0.5,0.2,0.5,0.6,1.2,0.9
NY,Kevin McCullar Jr.,G,19,0,6.7,1.8,0.5,0.8,1.3,1.0,0.3,0.0,0.6,0.9,1.6
NY,Dillon Jones,F,5,0,4.8,1.4,0.4,0.8,1.2,0.8,0.4,0.0,0.0,0.8,INF
NY,Jeremy Sochan,N/A,10,0,5.3,1.3,0.2,1.0,1.2,0.5,0.5,0.1,0.2,0.4,2.5
NY,Pacome Dadiet,F,22,0,3.6,1.1,0.1,0.6,0.8,0.4,0.1,0.0,0.0,0.1,9.0
NY,Trey Jemison IIIF,N/A,11,0,5.5,0.8,0.7,0.7,1.5,0.3,0.1,0.2,0.5,0.8,0.5
NY,Tosan Evbuomwan,F,5,0,1.6,0.0,0.2,0.2,0.4,0.0,0.0,0.0,0.0,0.2,0.0
OKC,Shai Gilgeous-Alexander,G,55,55,33.6,31.8,0.5,4.0,4.5,6.6,1.4,0.8,2.1,2.0,3.1
OKC,Jalen Williams,G,26,26,29.0,17.5,0.7,4.0,4.7,5.4,1.3,0.3,1.9,2.1,2.8
OKC,Chet Holmgren,C,57,57,29.3,17.2,1.9,7.1,9.0,1.7,0.5,1.9,1.6,2.3,1.1
OKC,Ajay Mitchell,G,45,10,26.4,14.3,0.7,2.8,3.4,3.7,1.4,0.3,1.5,2.1,2.4
OKC,Jared McCain,N/A,15,0,18.7,11.2,0.7,1.7,2.5,0.9,0.6,0.0,1.1,1.5,0.8
OKC,Isaiah Joe,G,58,9,21.9,10.9,0.5,2.2,2.6,1.4,0.7,0.2,0.6,1.8,2.4
OKC,Isaiah Hartenstein,C,36,35,25.4,10.2,3.2,6.1,9.2,3.5,1.0,0.8,1.9,2.7,1.9
OKC,Aaron Wiggins,G,52,18,23.3,10.2,0.7,2.7,3.3,1.8,1.0,0.5,1.3,1.4,1.4
OKC,Cason Wallace,G,64,54,27.3,8.7,0.8,2.3,3.1,2.7,2.0,0.3,1.0,2.1,2.6
OKC,Luguentz Dort,G,56,56,28.1,8.6,0.9,3.0,3.9,1.3,0.8,0.4,0.8,2.9,1.6
OKC,Jaylin Williams,F,52,11,20.5,7.5,0.5,5.0,5.5,2.6,0.5,0.7,1.2,2.0,2.2
OKC,Kenrich Williams,G,45,2,15.8,6.6,1.0,2.3,3.2,1.4,0.5,0.1,0.8,1.1,1.9
OKC,Alex Caruso,G,44,0,18.5,6.5,0.6,2.1,2.7,2.0,1.4,0.3,0.9,1.2,2.3
OKC,Branden Carlson,C,35,2,10.7,4.9,0.7,1.9,2.6,0.6,0.2,0.5,0.4,0.9,1.6
OKC,Nikola Topic,G,5,0,10.6,3.2,0.4,1.2,1.6,2.0,0.0,0.0,2.2,0.8,0.9
OKC,Chris Youngblood,G,32,0,5.4,2.0,0.2,0.7,0.9,0.3,0.1,0.1,0.1,0.6,5.5
OKC,Buddy Boeheim,F,4,0,3.8,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0
OKC,Brooks Barnhizer,F,33,0,7.8,1.4,0.3,1.4,1.7,0.5,0.2,0.1,0.2,0.6,2.3
ORL,Paolo Banchero,F,55,55,34.9,22.2,1.1,7.5,8.6,5.0,0.6,0.6,2.9,1.9,1.7
ORL,Franz Wagner,F,28,26,31.8,21.3,1.5,4.3,5.8,3.6,1.1,0.3,1.7,2.3,2.1
ORL,Desmond Bane,G,65,65,34.3,20.6,1.2,2.9,4.2,4.2,1.0,0.4,2.0,3.1,2.1
ORL,Anthony Black,G,60,40,30.7,15.3,0.7,3.1,3.9,3.8,1.4,0.7,2.1,2.7,1.8
ORL,Jalen Suggs,G,42,41,26.6,14.1,0.6,3.1,3.7,5.3,1.9,0.8,2.5,2.7,2.1
ORL,Wendell Carter Jr.,C,62,62,29.6,11.6,2.1,5.5,7.6,2.1,0.8,0.7,1.2,3.5,1.7
ORL,Tristan da Silva,F,60,23,24.1,9.6,0.8,3.0,3.7,1.5,0.9,0.4,0.8,1.5,1.8
ORL,Moritz Wagner,F,25,0,13.0,8.0,1.0,2.6,3.5,0.8,0.6,0.0,0.6,1.8,1.5
ORL,Goga Bitadze,C,48,2,15.2,5.8,2.0,2.9,4.9,1.2,0.6,1.1,0.5,2.0,2.2
ORL,Jett Howard,G,44,0,12.4,5.3,0.4,1.3,1.7,0.9,0.2,0.2,0.3,1.2,3.3
ORL,Jase Richardson,G,44,0,11.5,4.6,0.4,0.8,1.2,1.2,0.3,0.0,0.5,1.1,2.1
ORL,Noah Penda,F,46,2,13.7,4.5,1.4,2.3,3.7,1.2,0.5,0.4,0.8,1.3,1.5
ORL,Jamal Cain,F,23,0,6.7,2.7,0.3,0.4,0.7,0.3,0.2,0.0,0.3,1.0,1.1
ORL,Jonathan Isaac,F,52,0,10.0,2.6,0.8,1.7,2.5,0.4,0.4,0.6,0.3,0.8,1.2
ORL,Orlando Robinson,C,4,1,6.3,1.8,0.5,0.5,1.0,0.8,0.3,0.0,0.0,0.8,INF
PHI,Tyrese Maxey,G,61,61,38.3,29.0,0.3,3.8,4.1,6.7,2.0,0.8,2.4,2.2,2.7
PHI,Joel Embiid,C,33,33,31.2,26.6,2.0,5.5,7.5,3.9,0.6,1.1,3.0,2.1,1.3
PHI,Paul George,F,27,27,30.5,16.0,0.5,4.6,5.1,3.7,1.5,0.5,1.6,2.2,2.3
PHI,VJ Edgecombe,G,59,59,35.0,15.3,1.6,3.9,5.5,3.8,1.5,0.5,1.9,2.9,2.1
PHI,Kelly Oubre Jr.,G,41,36,32.4,14.7,1.0,3.9,4.9,1.7,1.3,0.5,1.4,2.5,1.2
PHI,Quentin Grimes,G,60,13,29.8,13.0,0.7,3.0,3.6,3.4,0.9,0.4,1.9,2.0,1.8
PHI,MarJon Beauchamp,F,4,0,18.0,10.8,0.5,2.8,3.3,1.8,1.0,0.5,1.3,1.0,1.4
PHI,Dominick Barlow,F,55,48,24.3,8.2,1.9,2.7,4.6,1.1,0.9,0.7,0.8,2.0,1.4
PHI,Cameron Payne,PG,12,1,16.6,7.6,0.2,1.4,1.6,3.0,1.2,0.3,0.4,1.5,7.2
PHI,Andre Drummond,C,49,24,19.4,6.5,3.2,5.2,8.4,1.0,0.6,0.8,1.0,2.1,1.0
PHI,Trendon Watford,F,43,7,16.5,6.2,0.7,2.6,3.3,2.5,0.3,0.4,1.1,2.0,2.2
PHI,Eric Gordon,G,6,0,12.3,5.5,0.2,0.2,0.3,0.5,0.7,0.2,0.5,0.5,1.0
PHI,Justin Edwards,F,49,6,14.6,5.0,0.5,1.1,1.6,1.2,0.8,0.2,0.6,1.6,2.3
PHI,Adem Bona,C,56,8,17.2,4.6,1.8,2.5,4.3,0.4,0.4,1.2,0.8,2.3,0.6
PHI,Jabari Walker,F,56,6,12.5,4.5,1.1,2.0,3.1,0.5,0.4,0.2,0.4,1.6,1.2
PHI,Kyle Lowry,G,9,0,8.4,1.6,0.0,0.7,0.7,1.0,0.2,0.1,0.2,0.6,4.5
PHI,Hunter Sallis,G,7,0,3.7,1.0,0.0,0.1,0.1,0.6,0.0,0.1,0.7,0.3,0.8
PHI,Johni Broome,F,11,0,5.0,0.9,0.6,0.8,1.5,0.4,0.3,0.2,0.3,0.6,1.3
PHX,Devin Booker,G,50,50,33.4,25.3,0.8,3.2,4.0,6.1,0.9,0.3,3.2,2.6,1.9
PHX,Dillon Brooks,F,50,50,30.6,20.9,0.8,2.9,3.7,1.8,1.0,0.2,1.8,3.3,1.0
PHX,Grayson Allen,G,42,26,30.0,17.3,0.7,2.3,3.0,4.1,1.4,0.3,1.7,2.2,2.5
PHX,Jalen Green,G,18,13,24.0,16.5,0.4,2.8,3.2,2.4,1.3,0.1,2.3,1.1,1.1
PHX,Collin Gillespie,G,65,46,28.9,13.4,1.1,3.1,4.2,4.8,1.3,0.2,1.7,1.6,2.9
PHX,Mark Williams,C,56,52,23.6,11.6,3.1,5.0,8.1,1.0,0.9,0.9,1.1,2.2,0.9
PHX,Royce O'Neale,F,66,61,29.3,10.1,0.8,4.2,4.9,2.8,1.1,0.3,1.4,2.3,1.9
PHX,Jordan Goodwin,G,56,4,22.1,8.8,1.9,2.8,4.7,2.2,1.4,0.2,1.0,1.9,2.3
PHX,Jamaree Bouyea,G,34,0,15.2,6.3,0.4,1.4,1.9,1.8,0.7,0.4,0.6,0.9,2.9
PHX,Oso Ighodaro,F,66,12,21.0,6.0,1.6,3.2,4.8,2.0,0.9,0.7,1.2,2.6,1.6
PHX,Ryan Dunn,F,59,14,19.4,5.7,1.4,2.6,4.1,1.4,0.8,0.4,0.8,2.1,1.8
PHX,Rasheer Fleming,F,40,0,9.7,3.4,1.0,1.0,2.0,0.3,0.3,0.2,0.4,0.9,0.7
PHX,Koby Brea,G,5,0,4.6,3.2,0.0,0.4,0.4,0.6,0.0,0.0,0.0,0.0,INF
PHX,Haywood Highsmith,F,3,0,11.3,3.0,0.7,1.3,2.0,1.0,1.0,0.0,0.0,1.0,INF
PHX,Khaman Maluach,C,31,0,7.0,2.2,0.8,1.2,2.0,0.1,0.1,0.5,0.7,0.8,0.2
PHX,Isaiah Livers,F,33,0,10.1,2.0,0.6,1.2,1.8,0.6,0.4,0.2,0.4,0.8,1.8
PHX,Nigel Hayes-Davis,F,27,0,7.2,1.3,0.4,0.8,1.2,0.3,0.3,0.1,0.3,0.6,0.9
POR,Deni Avdija,F,50,50,33.3,24.3,1.1,5.8,6.9,6.7,0.8,0.6,3.8,2.6,1.8
POR,Shaedon Sharpe,G,48,42,30.0,21.4,1.0,3.4,4.4,2.6,1.4,0.1,3.0,2.0,0.9
POR,Jerami Grant,F,50,31,29.8,19.0,0.9,2.6,3.5,2.3,0.7,0.6,2.1,2.5,1.1
POR,Jrue Holiday,G,37,35,28.9,16.5,1.4,3.0,4.4,6.3,1.2,0.1,2.9,1.6,2.2
POR,Scoot Henderson,G,14,3,22.9,13.2,0.7,2.0,2.7,4.2,0.4,0.3,2.8,2.9,1.5
POR,Toumani Camara,F,66,66,33.6,12.8,1.6,3.8,5.4,2.5,1.1,0.4,1.9,3.0,1.4
POR,Donovan Clingan,C,61,61,27.2,11.8,4.5,7.0,11.5,2.1,0.5,1.5,1.2,2.3,1.8
POR,Caleb Love,G,45,1,22.2,11.3,0.6,2.0,2.5,2.7,0.6,0.1,1.4,1.0,2.0
POR,Robert Williams IIIC,N/A,46,1,16.8,6.9,2.2,4.5,6.7,1.1,0.7,1.5,0.8,1.2,1.3
POR,Kris Murray,F,42,15,24.1,5.8,1.7,2.1,3.8,1.1,1.0,0.4,0.8,1.7,1.4
POR,Sidy Cissoko,G,59,24,21.1,5.8,0.9,1.5,2.4,1.5,0.8,0.4,1.0,2.6,1.4
POR,Blake Wesley,G,21,0,13.9,5.5,0.3,1.0,1.4,2.5,0.8,0.1,1.2,1.4,2.1
POR,Matisse Thybulle,G,14,0,11.9,4.5,0.5,1.1,1.6,0.8,1.9,0.5,0.6,1.4,1.2
POR,Duop Reath,C,32,0,8.1,2.9,0.3,0.9,1.2,0.3,0.2,0.3,0.2,0.9,1.4
POR,Yang Hansen,C,38,1,7.3,2.2,0.5,1.0,1.5,0.6,0.1,0.2,0.8,1.1,0.7
POR,Javonte Cooke,G,19,0,4.9,1.2,0.2,0.8,1.0,0.4,0.3,0.0,0.5,0.3,0.8
SAC,Zach LaVine,G,39,37,31.4,19.2,0.2,2.6,2.8,2.3,0.7,0.3,1.9,2.1,1.2
SAC,DeMar DeRozan,G,66,66,31.7,18.4,0.4,2.6,3.0,3.9,1.1,0.3,1.2,2.0,3.4
SAC,Domantas Sabonis,F,19,15,29.7,15.8,3.4,8.0,11.4,4.1,0.9,0.2,2.7,3.5,1.5
SAC,Russell Westbrook,G,61,55,28.9,15.5,1.3,4.2,5.4,6.5,1.3,0.2,3.3,2.4,2.0
SAC,Keegan Murray,F,23,22,34.5,14.0,1.4,4.3,5.7,1.7,1.0,1.6,1.2,1.8,1.4
SAC,Malik Monk,G,53,0,22.0,12.6,0.3,1.7,1.9,2.7,0.6,0.4,1.4,1.6,1.9
SAC,Maxime Raynaud,C,59,41,25.0,10.9,2.0,5.2,7.2,1.2,0.5,0.6,1.1,2.3,1.1
SAC,Precious Achiuwa,PF,59,43,22.3,8.7,2.1,4.0,6.1,1.3,0.9,0.6,0.7,1.7,1.9
SAC,Daeqwon Plowden,G,18,2,23.6,7.9,1.1,2.1,3.2,1.1,0.5,0.2,0.4,1.8,2.4
SAC,Nique Clifford,G,63,17,23.4,7.6,0.9,2.6,3.5,2.0,0.9,0.3,1.3,2.0,1.5
SAC,Devin Carter,G,27,2,14.3,6.8,0.8,1.8,2.6,2.1,0.8,0.2,1.1,1.1,2.0
SAC,Dylan Cardwell,C,29,1,21.2,5.4,3.1,4.6,7.7,1.2,0.8,1.6,0.8,3.7,1.5
SAC,Drew Eubanks,F,42,11,13.1,5.2,0.9,2.1,3.0,0.5,0.4,0.6,0.7,1.4,0.6
SAC,Killian Hayes,G,9,1,16.2,4.0,0.2,1.7,1.9,3.4,0.6,0.0,0.4,1.8,7.8
SAC,Doug McDermott,F,15,0,10.2,3.9,0.1,0.7,0.7,0.3,0.2,0.1,0.4,0.6,0.7
SAC,Isaiah Stevens,G,3,0,14.3,3.3,0.7,0.3,1.0,3.3,1.7,0.0,0.7,0.7,5.0
SAC,Dario Saric,F,5,0,8.2,1.0,0.2,1.0,1.2,0.4,0.0,0.0,0.4,0.6,1.0
SA,Victor Wembanyama,F,51,42,29.3,24.2,1.9,9.2,11.1,2.9,1.0,3.0,2.6,2.6,1.1
SA,De'Aaron Fox,G,57,57,31.5,19.1,0.6,3.1,3.7,6.4,1.2,0.2,2.3,2.3,2.7
SA,Stephon Castle,G,56,55,29.8,16.6,1.3,3.8,5.0,7.0,1.2,0.3,3.1,3.3,2.2
SA,Devin Vassell,G,53,51,30.6,14.3,0.5,3.3,3.8,2.4,0.8,0.4,0.9,1.6,2.6
SA,Keldon Johnson,F,66,0,23.3,12.8,1.7,3.9,5.5,1.3,0.6,0.1,0.9,2.1,1.5
SA,Julian Champagnie,F,66,52,27.7,11.2,0.9,5.0,5.8,1.5,0.8,0.4,0.9,1.6,1.7
SA,Dylan Harper,G,55,0,22.2,11.2,0.7,2.6,3.3,3.8,0.8,0.3,1.4,1.9,2.7
SA,Harrison Barnes,F,61,49,26.9,10.3,0.9,2.1,2.9,2.0,0.7,0.2,0.9,1.1,2.3
SA,Luke Kornet,C,56,23,21.2,6.7,2.8,3.3,6.1,1.8,0.4,1.1,0.4,1.9,4.1
SA,Carter Bryant,F,55,0,10.1,3.7,0.5,1.8,2.2,0.4,0.2,0.3,0.4,1.0,1.2
SA,Kelly Olynyk,F,36,0,8.9,3.3,0.6,1.2,1.8,1.1,0.4,0.1,0.6,1.1,1.9
SA,David Jones Garcia,F,11,0,6.2,2.9,0.4,0.8,1.2,1.6,0.5,0.1,0.5,0.5,3.6
SA,Lindy Waters IIIF,N/A,34,0,6.5,2.1,0.1,0.6,0.6,0.4,0.1,0.0,0.1,0.5,2.8
SA,Jordan McLaughlin,G,33,0,5.9,1.9,0.1,0.5,0.7,0.7,0.4,0.0,0.4,0.3,2.0
SA,Harrison Ingram,F,5,0,3.4,1.8,0.6,0.0,0.6,0.2,0.0,0.0,0.0,0.4,INF
SA,Stanley Umude,G,2,0,3.5,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,INF
SA,Bismack Biyombo,C,19,1,5.7,0.8,0.2,0.6,0.8,0.3,0.2,0.1,0.3,1.1,0.8
TOR,Brandon Ingram,F,63,63,34.0,21.5,0.8,4.9,5.7,3.8,0.8,0.7,2.5,2.0,1.5
TOR,Scottie Barnes,F,63,63,34.3,18.8,2.0,5.8,7.9,5.3,1.4,1.5,2.7,2.8,2.0
TOR,RJ Barrett,F,41,41,29.9,18.7,0.9,4.5,5.4,3.3,0.8,0.3,1.7,2.4,2.0
TOR,Immanuel Quickley,G,62,62,32.5,17.3,0.5,3.6,4.2,6.1,1.2,0.1,1.6,2.1,3.9
TOR,Sandro Mamukelashvili,F,63,12,22.1,10.8,1.4,3.4,4.8,1.9,0.7,0.6,0.8,2.0,2.3
TOR,Jakob Poeltl,C,30,28,25.6,9.9,2.6,4.8,7.4,2.0,0.8,0.7,1.4,3.1,1.5
TOR,Collin Murray-Boyles,F,47,22,22.3,7.8,2.4,2.5,5.0,2.0,0.9,0.9,1.1,2.5,1.8
TOR,Jamal Shead,G,65,7,21.9,6.8,0.3,1.6,1.9,5.1,1.0,0.2,1.4,2.0,3.7
TOR,Ja'Kobe Walter,G,55,11,18.9,6.4,0.7,1.6,2.3,1.1,1.0,0.2,0.5,2.0,2.0
TOR,Gradey Dick,G,63,1,15.1,6.2,0.6,1.5,2.1,0.7,0.6,0.1,0.6,1.4,1.2
TOR,A.J. Lawson,G,14,0,7.9,3.5,0.5,1.1,1.6,0.2,0.3,0.2,0.3,1.1,0.8
TOR,Jamison Battle,F,48,2,8.5,3.0,0.4,1.1,1.5,0.4,0.1,0.0,0.3,0.7,1.1
TOR,Alijah Martin,G,16,0,6.4,2.5,0.4,0.5,0.9,0.5,0.4,0.2,0.3,0.6,2.0
TOR,Jonathan Mogbo,F,26,0,6.1,1.2,0.5,1.0,1.5,0.5,0.2,0.2,0.3,0.6,1.4
TOR,Garrett Temple,G,16,0,2.9,0.4,0.1,0.3,0.3,0.3,0.2,0.1,0.2,0.2,1.3
TOR,Mo Bamba,N/A,2,0,3.0,0.0,0.5,0.5,1.0,0.0,0.0,0.5,0.0,1.0,0.0
TOR,Chucky Hepburn,G,2,0,6.5,0.0,0.0,0.5,0.5,1.0,0.5,0.0,0.5,1.0,2.0
UTAH,Lauri Markkanen,F,42,42,34.4,26.7,2.0,4.9,6.9,2.1,1.0,0.5,1.5,1.8,1.4
UTAH,Keyonte George,G,54,54,33.1,23.6,0.4,3.3,3.7,6.1,1.1,0.3,3.1,2.2,2.0
UTAH,Walker Kessler,C,5,5,30.8,14.4,4.6,6.2,10.8,3.0,1.4,1.8,3.2,4.4,0.9
UTAH,Brice Sensabaugh,F,63,12,22.3,13.1,0.8,2.2,3.0,1.7,0.7,0.1,1.3,1.9,1.3
UTAH,Ace Bailey,G,58,47,27.1,12.5,1.6,2.4,4.0,1.7,0.9,0.5,1.3,2.7,1.3
UTAH,Isaiah Collier,G,56,16,25.6,11.4,0.4,2.1,2.5,7.2,1.1,0.3,2.5,2.4,2.9
UTAH,Jusuf Nurkic,C,41,36,26.4,10.9,2.6,7.8,10.4,4.8,1.3,0.5,2.5,3.3,1.9
UTAH,Kyle Filipowski,F,65,29,22.8,10.5,1.9,5.1,7.0,2.3,0.9,0.5,1.6,3.0,1.5
UTAH,Blake Hinson,F,8,1,20.9,9.4,0.9,1.5,2.4,0.8,0.0,0.1,0.3,2.0,3.0
UTAH,Svi Mykhailiuk,G,48,41,23.4,9.1,0.7,1.8,2.5,1.9,0.5,0.1,0.8,1.3,2.3
UTAH,Kevin Love,F,36,5,16.6,6.8,1.5,4.4,5.9,1.8,0.4,0.3,0.8,1.4,2.3
UTAH,Cody Williams,F,52,26,21.5,6.3,0.9,1.7,2.6,1.3,0.7,0.4,0.8,1.7,1.7
UTAH,Andersson Garcia,G,1,0,25.0,6.0,5.0,4.0,9.0,0.0,1.0,1.0,1.0,4.0,0.0
UTAH,Elijah Harkless,G,17,2,15.0,4.4,0.2,1.1,1.3,2.0,0.9,0.1,0.7,1.9,2.8
UTAH,Oscar Tshiebwe,C,11,1,12.1,4.0,1.7,2.4,4.1,0.8,0.3,0.1,0.4,1.5,2.3
WAS,Alex Sarr,C,44,44,27.7,17.2,2.3,5.3,7.6,2.7,0.8,2.0,1.7,2.0,1.6
WAS,Kyshawn George,F,48,48,29.0,14.8,0.9,4.2,5.1,4.5,1.0,0.9,2.6,3.5,1.7
WAS,Tre Johnson,G,52,34,24.1,12.5,0.5,2.3,2.9,2.0,0.6,0.3,1.5,1.9,1.3
WAS,Alondes Williams,G,4,0,25.3,11.0,1.3,5.0,6.3,3.0,0.8,0.8,1.3,1.0,2.4
WAS,Bilal Coulibaly,G,45,45,26.6,10.8,0.8,3.5,4.4,2.6,1.4,0.9,1.5,2.6,1.8
WAS,Leaky Black,F,5,2,31.8,10.0,1.4,4.0,5.4,1.4,0.4,0.8,0.8,3.0,1.8
WAS,Bub Carrington,G,65,33,27.6,9.9,0.5,3.2,3.7,4.6,0.7,0.2,2.3,2.2,2.0
WAS,Cam Whitmore,F,21,0,16.9,9.2,0.9,1.9,2.8,0.7,0.7,0.4,0.9,1.2,0.8
WAS,Julian Reese,F,4,3,31.0,8.5,4.3,6.0,10.3,2.0,1.3,0.5,2.3,4.0,0.9
WAS,Will Riley,G,57,6,19.0,8.4,0.8,1.7,2.5,1.6,0.6,0.1,1.1,1.1,1.5
WAS,Kadary Richmond,G,3,0,22.3,8.3,0.3,3.0,3.3,2.7,2.7,0.3,0.7,0.7,4.0
WAS,Justin Champagnie,F,58,15,19.3,8.2,2.2,3.4,5.6,1.1,0.8,0.6,0.7,1.6,1.7
WAS,Tristan Vukcevic,F,40,8,12.9,8.0,0.7,2.3,3.0,1.2,0.4,0.7,1.2,1.5,1.0
WAS,Sharife Cooper,G,24,0,15.0,7.0,0.4,1.5,1.9,2.3,0.3,0.1,1.4,1.5,1.6
WAS,Jamir Watkins,G,33,4,18.6,5.9,0.9,2.5,3.4,0.9,0.8,0.5,0.5,2.6,1.7
WAS,Malaki Branham,G,28,0,9.8,4.6,0.4,1.1,1.6,0.8,0.4,0.1,0.5,0.8,1.5
WAS,Skal Labissiere,C,3,0,12.7,4.3,1.0,2.0,3.0,1.0,0.7,0.3,0.3,1.0,3.0
WAS,Anthony Gill,F,38,1,12.9,4.0,0.9,1.5,2.4,0.9,0.4,0.3,0.6,1.2,1.7
WAS,Keshon Gilbert,G,3,0,16.0,2.0,0.7,1.0,1.7,1.0,0.7,1.3,2.0,1.0,0.5
